country_code,city_name,ascii_name,alt_names,latitude,longitude,iana_timezone,utc_offset_minutes,utc_offset_label
US,"Center Island, Washington","Center Island, Washington",CWS,0.0,0.0,America/Los_Angeles,-420,UTC-07:00
RU,Okhotsk,Okhotsk,OHO|UHOO,59.4101,143.057,Asia/Vladivostok,600,UTC+10:00
RO,Caransebes,Caransebes,CSB|LRCS,45.42,22.253333,Europe/Bucharest,180,UTC+03:00
DE,Oberpfaffenhofen,Oberpfaffenhofen,EDMO|OBF,48.081364,11.283067,Europe/Berlin,120,UTC+02:00
CI,Bouake,Bouake,BYK|DIBK,7.7388,-5.073667,Africa/Abidjan,0,UTC+00:00
KH,Phnom Penh,Phnom Penh,PNH|VDPP,11.546556,104.844139,Asia/Phnom_Penh,420,UTC+07:00
PG,Tufi,Tufi,TFI,-9.07595,149.32,Asia/Vladivostok,600,UTC+10:00
RU,Krasnoyarsk,Krasnoyarsk,KCY|KJA|UNKL|UNKM,56.18,92.475,Asia/Krasnoyarsk,420,UTC+07:00
HU,Pecs,Pecs,LHPP|PEV,45.990928,18.240983,Europe/Monaco,120,UTC+02:00
FI,Kuorevesi,Kuorevesi,EFHA|KEV,61.85605,24.7866,Europe/Helsinki,180,UTC+03:00
PK,Saidu Sharif,Saidu Sharif,OPSS|SDT,34.813556,72.352814,Asia/Karachi,300,UTC+05:00
CN,Xilinhot,Xilinhot,XIL|ZBXH,43.9156,115.964,Asia/Shanghai,480,UTC+08:00
US,"Riverside, California","Riverside, California",KRAL|KRIV|RAL|RIV,33.951875,-117.445103,America/Los_Angeles,-420,UTC-07:00
NG,Kaduna,Kaduna,DNKA|KAD,10.696025,7.320114,Africa/Lagos,60,UTC+01:00
BR,Lencois,Lencois,LEC|SBLE,-12.4823,-41.277,America/Bahia,-180,UTC-03:00
US,"Goldsboro, North Carolina","Goldsboro, North Carolina",GSB|KGSB,35.339383,-77.960589,America/New_York,-240,UTC-04:00
US,"Fort Meade, Maryland","Fort Meade, Maryland",FME|KFME,39.085386,-76.759414,America/New_York,-240,UTC-04:00
CO,Monteria,Monteria,MTR|SKMR,8.823744,-75.825831,America/Bogota,-300,UTC-05:00
PK,Jacobabad,Jacobabad,JAG,28.28417,68.44971,Asia/Karachi,300,UTC+05:00
US,"Williamsport, Pennsylvania","Williamsport, Pennsylvania",IPT|KIPT,41.241836,-76.921094,America/New_York,-240,UTC-04:00
BF,Bobo Dioulasso,Bobo Dioulasso,BOY|DFOO,11.160056,-4.330969,Africa/Ouagadougou,0,UTC+00:00
PH,Dumaguete,Dumaguete,DGT|RPVD,9.333714,123.300472,Asia/Manila,480,UTC+08:00
PF,Tureira,Tureira,NTGY|ZTA,-20.7897,-138.57,Pacific/Tahiti,-600,UTC-10:00
AW,Aruba,Aruba,AUA|TNCA,12.501389,-70.015221,America/Aruba,-240,UTC-04:00
US,"Elizabeth City, North Carolina","Elizabeth City, North Carolina",ECG|KECG,36.260581,-76.174572,America/New_York,-240,UTC-04:00
US,"Iowa City, Iowa","Iowa City, Iowa",IOW|KIOW,41.639244,-91.546503,America/Chicago,-300,UTC-05:00
MZ,Bazaruto Island,Bazaruto Island,BZB,-21.542778,35.473056,Africa/Kigali,120,UTC+02:00
NG,Kano,Kano,DNKN|KAN,12.047589,8.524622,Africa/Lagos,60,UTC+01:00
US,"Moultrie, Georgia","Moultrie, Georgia",MGR,31.0849167,-83.80325,America/Havana,-240,UTC-04:00
BO,Potosi,Potosi,POI|SLPO,-19.543069,-65.723706,America/La_Paz,-240,UTC-04:00
GB,Manchester,Manchester,EGCC|MAN|QQM|ZMP,53.353744,-2.27495,Europe/London,60,UTC+01:00
US,"Wenatchee, Washington","Wenatchee, Washington",EAT|KEAT,47.398,-120.206,America/Los_Angeles,-420,UTC-07:00
US,"Lynchburg, Virginia","Lynchburg, Virginia",KLYH|LYH,37.3267,-79.2004,America/New_York,-240,UTC-04:00
US,"Zephyrhills, Florida","Zephyrhills, Florida",KZPH|ZPH,28.228056,-82.155833,America/New_York,-240,UTC-04:00
NZ,Palmerston North,Palmerston North,NZPM|PMR,-40.320556,175.616944,Pacific/Auckland,720,UTC+12:00
ZW,Masvingo,Masvingo,FVMV|MVZ,-20.055333,30.859111,Africa/Harare,120,UTC+02:00
CO,Arauca,Arauca,AUC|SKUC,7.068881,-70.736925,America/Bogota,-300,UTC-05:00
AE,Sharjah,Sharjah,OMSJ|SHJ,25.328575,55.51715,Asia/Dubai,240,UTC+04:00
US,"Bellingham, Washington","Bellingham, Washington",BLI|KBLI,48.792694,-122.537528,America/Los_Angeles,-420,UTC-07:00
KZ,Arkalyk,Arkalyk,AYK|UAUR,50.2395,66.941,Asia/Qyzylorda,300,UTC+05:00
CO,Cravo Norte,Cravo Norte,RAV,0.0,0.0,America/Bogota,-300,UTC-05:00
US,"Mount McKinley, Alaska","Mount McKinley, Alaska",MCL|PAIN,63.732757,-148.91129,America/Anchorage,-480,UTC-08:00
BO,Puerto Suarez,Puerto Suarez,PSZ|SLPS,-18.975281,-57.820586,America/La_Paz,-240,UTC-04:00
YE,Socotra,Socotra,OYSQ|SCT,12.630672,53.905778,Asia/Aden,180,UTC+03:00
VE,Santa Barbara Ed,Santa Barbara Ed,STB|SVSZ,8.974425,-71.943014,America/Caracas,-240,UTC-04:00
US,"Greensboro, North Carolina","Greensboro, North Carolina",GSO|KGSO,36.09775,-79.937306,America/New_York,-240,UTC-04:00
CA,Cat Lake,Cat Lake,CYAC|YAC,51.7272,-91.8244,America/Winnipeg,-300,UTC-05:00
RW,Kamembe,Kamembe,HRZA|KME,-2.462242,28.90795,Africa/Kigali,120,UTC+02:00
US,"Lander, Wyoming","Lander, Wyoming",LIND|LND,47.5489,9.688,America/Denver,-360,UTC-06:00
KM,Moheli,Moheli,FMCI|NWA,-12.298108,43.7664,Indian/Comoro,180,UTC+03:00
LA,Saravane,Saravane,VLSV|VNA,15.709444,106.411667,Asia/Vientiane,420,UTC+07:00
NC,Ile Des Pins,Ile Des Pins,ILP|NWWE,-22.5889,167.456,Pacific/Noumea,660,UTC+11:00
US,"Clarks Point, Alaska","Clarks Point, Alaska",CLP,58.83659,-158.52881,America/Anchorage,-480,UTC-08:00
PF,Huahine,Huahine,HUH|NTTH,-16.687242,-151.021667,Pacific/Tahiti,-600,UTC-10:00
IT,Tortoli,Tortoli,LIET|TTB,39.918761,9.682981,Europe/Rome,120,UTC+02:00
TT,Port Of Spain,Port Of Spain,POS|TTPP,10.595369,-61.337242,America/Port_of_Spain,-240,UTC-04:00
BZ,San Pedro,San Pedro,MZ10|SPR,17.913936,-87.971075,America/Belize,-360,UTC-06:00
DE,Oldenburg,Oldenburg,ZPD,0.0,0.0,Europe/Monaco,120,UTC+02:00
IN,Srinagar,Srinagar,SXR|VISR,33.987139,74.77425,Asia/Kolkata,330,UTC+05:30
EG,Shark Alowainat,Shark Alowainat,GSQ|HEOW,22.5806,28.7207,Africa/Cairo,180,UTC+03:00
BO,Reyes,Reyes,REY|SLRY,-14.3044,-67.3534,America/La_Paz,-240,UTC-04:00
US,"Athens, Georgia","Athens, Georgia",AHN|KAHN,33.9486,-83.3263,America/New_York,-240,UTC-04:00
AU,Rottnest Island,Rottnest Island,RTS,-32.0067,115.54,Australia/Perth,480,UTC+08:00
MX,San Felipe,San Felipe,SFH|SVSP,10.278728,-68.755211,America/Santa_Isabel,-420,UTC-07:00
RU,Yeysk,Yeysk,EIK,46.686747,38.210793,Europe/Moscow,180,UTC+03:00
IS,Raufarhofn,Raufarhofn,RFN,66.45,-15.95,Atlantic/Reykjavik,0,UTC+00:00
IN,Belgaum,Belgaum,IXG|VABM,15.859286,74.618292,Asia/Kolkata,330,UTC+05:30
AR,Oran,Oran,ORA|SASO,-23.152779,-64.32917,America/Argentina/Salta,-180,UTC-03:00
US,"Sault Ste Marie, Michigan","Sault Ste Marie, Michigan",CIU|KCIU,46.2508,-84.4724,America/Detroit,-240,UTC-04:00
AU,Woomera,Woomera,UMR|YPWR,-31.144167,136.816944,Australia/Adelaide,570,UTC+09:30
FR,Bourg En Bresse,Bourg En Bresse,LFHS|XBK,46.20089,5.292028,Europe/Paris,120,UTC+02:00
ML,Gao,Gao,GAGO|GAQ,16.248433,-0.005456,Africa/Bamako,0,UTC+00:00
GB,Alderney,Alderney,ACI|EGJA,49.706111,-2.214722,Europe/Guernsey,60,UTC+01:00
AT,Vienna,Vienna,LOWW|VIE|XWC|XWW,48.110278,16.569722,Europe/Vienna,120,UTC+02:00
TR,Eskisehir,Eskisehir,AOE|ESK|LTBI|LTBY,39.784138,30.582111,Europe/Istanbul,180,UTC+03:00
UZ,Navoi,Navoi,NVI|UTSA,40.1172,65.1708,Asia/Samarkand,300,UTC+05:00
CA,Gander,Gander,CYQX|YQX,48.936944,-54.568056,America/St_Johns,-150,UTC-02:30
EC,Tiputini,Tiputini,SETI|TPN,-0.766667,-75.53333,America/Guayaquil,-300,UTC-05:00
AU,Aurukun Mission,Aurukun Mission,AUU|YAUR,-13.3539,141.721,Australia/Brisbane,600,UTC+10:00
ES,Leon,Leon,EEU|LELN|LEN,42.589,-5.655556,Europe/Madrid,120,UTC+02:00
GA,Tchibanga,Tchibanga,FOOT|TCH,-2.85,11.017,Africa/Libreville,60,UTC+01:00
TZ,Mwanza,Mwanza,HTMW|MWZ,-2.444486,32.932667,Africa/Dar_es_Salaam,180,UTC+03:00
AU,Streaky Bay,Streaky Bay,KBY|UWWW,53.504858,50.164336,Australia/Adelaide,570,UTC+09:30
CA,Peterborough,Peterborough,CYPQ|YPQ,44.23,-78.363333,America/Toronto,-240,UTC-04:00
IT,Foggia,Foggia,FOG|FOI|LIBF,41.432917,15.535028,Europe/Rome,120,UTC+02:00
US,"Fresno, California","Fresno, California",FAT|KFAT,36.776194,-119.71814,America/Los_Angeles,-420,UTC-07:00
US,"Westerly, Rhode Island","Westerly, Rhode Island",KWST|WST,41.349722,-71.803333,America/New_York,-240,UTC-04:00
RU,Neryungri,Neryungri,NER,56.905457,124.899613,Asia/Yakutsk,540,UTC+09:00
UG,Gulu,Gulu,HUGU|ULU,2.805556,32.271792,Africa/Kampala,180,UTC+03:00
MX,Villahermosa,Villahermosa,MMVA|VSA,17.997,-92.817361,America/Mexico_City,-360,UTC-06:00
CA,Shawinigan,Shawinigan,KXFL|XFL,29.2821,-81.1212,America/Toronto,-240,UTC-04:00
US,"Saranac Lake, New York","Saranac Lake, New York",KSLK|SLK,44.3853,-74.2062,America/New_York,-240,UTC-04:00
US,"Norfolk, Nebraska","Norfolk, Nebraska",OFK,41.98528,-97.43533,America/Chicago,-300,UTC-05:00
CO,La Chorrera,La Chorrera,LCR,-0.733333,-73.016667,America/Cayman,-300,UTC-05:00
CA,Whale Cove,Whale Cove,CYXN|YXN,62.24,-92.5981,America/Rankin_Inlet,-300,UTC-05:00
BR,Santo Angelo,Santo Angelo,GEL|SBNM,-28.281683,-54.169139,America/Sao_Paulo,-180,UTC-03:00
US,"Marshall, Alaska","Marshall, Alaska",MLL|PADM,61.8646418,-162.026111,America/Anchorage,-480,UTC-08:00
VE,La Fria,La Fria,LFR|SVLF,8.239167,-72.271028,America/Caracas,-240,UTC-04:00
AR,San Julian,San Julian,SAWJ|ULA,-49.306775,-67.802589,America/Argentina/Rio_Gallegos,-180,UTC-03:00
GB,Foula,Foula,FOA,60.121,-2.052,Europe/Jersey,60,UTC+01:00
CA,Saskatoon,Saskatoon,CYXE|YXE,52.170834,-106.699722,America/Regina,-360,UTC-06:00
US,"Larsen Bay, Alaska","Larsen Bay, Alaska",KLN|PALB,57.535,-153.976667,America/Anchorage,-480,UTC-08:00
KR,Ulsan,Ulsan,RKPU|USN,35.593494,129.351722,Asia/Seoul,540,UTC+09:00
US,"Palmer, Alaska","Palmer, Alaska",PAAQ|PAQ,61.594914,-149.088711,America/Anchorage,-480,UTC-08:00
CA,Chisasibi,Chisasibi,CSU2|YKU,53.8056,-78.9169,America/Montreal,-240,UTC-04:00
DZ,Tindouf,Tindouf,DAOF|TIN,27.700372,-8.167103,Africa/Algiers,60,UTC+01:00
CU,Cienfuegos,Cienfuegos,CFG|MUCF,22.15,-80.414167,America/Havana,-240,UTC-04:00
MY,Tioman,Tioman,TOD|WMBT,2.818183,104.160019,Asia/Kuala_Lumpur,480,UTC+08:00
CO,Leticia,Leticia,LET|SKLT,-4.193549,-69.943163,America/Bogota,-300,UTC-05:00
SL,Bonthe,Bonthe,BTE|GFBN,7.53242,-12.5189,Africa/Freetown,0,UTC+00:00
US,"Blytheville, Arkansas","Blytheville, Arkansas",BYH|KBYH,35.964347,-89.943956,America/Chicago,-300,UTC-05:00
US,"Kenai, Alaska","Kenai, Alaska",ENA|PAEN,60.573111,-151.245,America/Anchorage,-480,UTC-08:00
TO,Vava U,Vava U,NFTV|VAV,-18.585336,-173.961717,Pacific/Tongatapu,780,UTC+13:00
ID,Ilu,Ilu,IUL,-3.73333,138.16667,Asia/Jayapura,540,UTC+09:00
US,"Roche Harbor, Washington","Roche Harbor, Washington",RCE,48.608056,-123.159722,America/Vancouver,-420,UTC-07:00
RU,Naryan Mar,Naryan Mar,NNM|ULAM,67.633284,53.085705,Europe/Moscow,180,UTC+03:00
PG,Port Moresby,Port Moresby,AYPY|POM,-9.443383,147.22005,Pacific/Port_Moresby,600,UTC+10:00
CN,Wuhan,Wuhan,WUH|ZHHH,30.783758,114.2081,Asia/Shanghai,480,UTC+08:00
CO,Riohacha,Riohacha,RCH|SKRH,11.526222,-72.925958,America/Bogota,-300,UTC-05:00
GB,Nuneaton,Nuneaton,XNV,0.0,0.0,Europe/Jersey,60,UTC+01:00
SD,Port Sudan,Port Sudan,HSPN|PZU,19.4336,37.2341,Africa/Khartoum,120,UTC+02:00
ZA,Ulundi,Ulundi,FAUL|ULD,-28.320586,31.416519,Africa/Johannesburg,120,UTC+02:00
US,"New Koliganek, Alaska","New Koliganek, Alaska",KGK|PAJZ,59.726667,-157.259444,America/Anchorage,-480,UTC-08:00
DE,Hanover Messe,Hanover Messe,ZVM,52.329035,9.822136,Europe/Monaco,120,UTC+02:00
ET,Gondar,Gondar,GDQ|HAGN,12.5199,37.434047,Africa/Addis_Ababa,180,UTC+03:00
BS,Congo Town,Congo Town,COX|MYAK,24.158933,-77.589758,America/Nassau,-240,UTC-04:00
AU,Borroloola,Borroloola,BOCH|BOX,51.478506,7.2222,Australia/Darwin,570,UTC+09:30
GB,Filton,Filton,EGTG|FZO,51.519444,-2.590833,Europe/London,60,UTC+01:00
PK,Hyderabad,Hyderabad,HDD|OPKD,25.3181,68.3661,Asia/Karachi,300,UTC+05:00
IT,Palermo,Palermo,LICJ|PMO,38.175958,13.091019,Europe/Rome,120,UTC+02:00
AZ,Baku,Baku,GYD|UBBB,40.4675,50.046667,Asia/Baku,240,UTC+04:00
CA,North Battleford,North Battleford,CYQW|YQW,52.769167,-108.24361,America/Regina,-360,UTC-06:00
AR,La Rioja,La Rioja,IRJ|SANL,-29.381636,-66.795839,America/Argentina/La_Rioja,-180,UTC-03:00
MG,Maroantsetra,Maroantsetra,FMNR|WMN,-15.436666,49.688332,Indian/Antananarivo,180,UTC+03:00
US,"New Philadelphia, Ohio","New Philadelphia, Ohio",KPHD|PHD,40.4701667,-81.4199444,America/New_York,-240,UTC-04:00
CA,Fort St John,Fort St John,CYXJ|YXJ,56.238056,-120.740278,America/Dawson_Creek,-420,UTC-07:00
RU,Zeya,Zeya,EYA,53.69224,127.09126,Asia/Yakutsk,540,UTC+09:00
US,"Utica, New York","Utica, New York",UCA,0.0,0.0,America/New_York,-240,UTC-04:00
AO,Catumbela,Catumbela,CBT|FNCT,-12.4792,13.4869,Africa/Luanda,60,UTC+01:00
GB,Saint Andrews,Saint Andrews,ADX|EGQL,56.372889,-2.868444,Europe/London,60,UTC+01:00
US,"Kenmore Air Harbo, Washington","Kenmore Air Harbo, Washington",KEH,47.7548,-122.259,America/Vancouver,-420,UTC-07:00
US,"Manokotak, Alaska","Manokotak, Alaska",KMO|PAMB,58.990278,-159.05,America/Anchorage,-480,UTC-08:00
PK,Skardu,Skardu,KDU|OPSD,35.335508,75.536047,Asia/Karachi,300,UTC+05:00
CN,Shenyang,Shenyang,SHE|ZYTX,41.635478,123.496056,Asia/Shanghai,480,UTC+08:00
US,"Atqasuk, Alaska","Atqasuk, Alaska",ATK|PATQ,70.4673,-157.436,America/Anchorage,-480,UTC-08:00
CA,Holman,Holman,CYHI|YHI,70.762778,-117.806111,America/Yellowknife,-360,UTC-06:00
US,"Kodiak, Alaska","Kodiak, Alaska",ADQ|PADQ,57.749967,-152.493856,America/Anchorage,-480,UTC-08:00
ID,Putussibau,Putussibau,PSU|WIOP,0.835578,112.937144,Asia/Pontianak,420,UTC+07:00
PF,Rurutu,Rurutu,NTAR|RUR,-22.434069,-151.360614,Pacific/Tahiti,-600,UTC-10:00
MW,Dwangwa,Dwangwa,DWA|KDWA,38.5793889,-121.8569444,Africa/Blantyre,120,UTC+02:00
DK,Copenhagen,Copenhagen,CPH|EKCH|EKRK|RKE|ZGH,55.617917,12.655972,Europe/Copenhagen,120,UTC+02:00
DE,Lahr,Lahr,EDTL|LHA,48.3693,7.82772,Europe/Berlin,120,UTC+02:00
FR,Lourdes Tarbes,Lourdes Tarbes,LDE|LFBT,43.178675,-0.006439,Europe/Paris,120,UTC+02:00
US,"Clearwater, FL","Clearwater, FL",CLW|KCLW,27.9764722,-82.7586667,America/New_York,-240,UTC-04:00
PA,Jaque,Jaque,JQE|MPJE,7.51778,-78.1572,America/Panama,-300,UTC-05:00
FJ,Ba,Ba,BFJ,27.253,105.426,Pacific/Fiji,720,UTC+12:00
US,"Visalia, California","Visalia, California",KVIS|VIS,36.318611,-119.392778,America/Los_Angeles,-420,UTC-07:00
BR,Parintins,Parintins,PIN|SWPI,-2.627778,-56.735833,America/Manaus,-240,UTC-04:00
MA,Laayoune,Laayoune,EUN|GMML,27.1517,-13.2192,Africa/El_Aaiun,60,UTC+01:00
US,"Key West, Florida","Key West, Florida",EYW|KEYW|KNQX|NQX,24.556111,-81.759556,America/New_York,-240,UTC-04:00
CA,Red Deer,Red Deer,CYQF|YQF,52.182222,-113.894444,America/Edmonton,-360,UTC-06:00
FI,Kajaani,Kajaani,EFKI|KAJ,64.285472,27.692414,Europe/Helsinki,180,UTC+03:00
CL,Valdivia,Valdivia,SCVD|ZAL,-39.649956,-73.086111,America/Santiago,-240,UTC-04:00
GN,Kissidougou,Kissidougou,GUKU|KSI,9.160556,-10.124443,Africa/Conakry,0,UTC+00:00
SE,Torsby,Torsby,ESST|TYF,60.157622,12.991269,Europe/Stockholm,120,UTC+02:00
SK,Zilina,Zilina,ILZ|LZZI,49.231528,18.6135,Europe/Bratislava,120,UTC+02:00
NG,Makurdi,Makurdi,DNMK|MDI,7.703883,8.613939,Africa/Lagos,60,UTC+01:00
US,"Saint Louis, MI","Saint Louis, MI",CPS|KSTL|KSUS|STL|SUS,38.748697,-90.370028,America/Chicago,-300,UTC-05:00
TM,Turkmenabad,Turkmenabad,CRZ,39.083333,63.602222,Asia/Ashgabat,300,UTC+05:00
AR,Comodoro Rivadavi,Comodoro Rivadavi,CRD|SAVC,-45.785347,-67.465508,America/Argentina/Catamarca,-180,UTC-03:00
MX,Zacatecas,Zacatecas,MMZC|ZCL,22.897112,-102.68689,America/Mexico_City,-360,UTC-06:00
SA,Sharurah,Sharurah,OESH|SHW,17.466875,47.121431,Asia/Riyadh,180,UTC+03:00
KZ,Kyzylorda,Kyzylorda,KZO|UAOO,44.709,65.591,Asia/Qyzylorda,300,UTC+05:00
RU,Kyzyl,Kyzyl,KYZ|UNKY,51.6694,94.4006,Asia/Krasnoyarsk,420,UTC+07:00
ID,Pondok Cabe,Pondok Cabe,PCB|WIHP,-6.336964,106.764561,Asia/Jakarta,420,UTC+07:00
PE,Juliaca,Juliaca,JUL|SPJL,-15.467103,-70.158169,America/Lima,-300,UTC-05:00
CD,Mbuji Mayi,Mbuji Mayi,FZWA|MJM,-6.121236,23.569008,Africa/Lubumbashi,120,UTC+02:00
US,"Great Bend, Kansas","Great Bend, Kansas",GBD|KGBD,38.344167,-98.859167,America/Chicago,-300,UTC-05:00
PH,Tablas,Tablas,RPVU|TBH,12.311,122.085,Asia/Manila,480,UTC+08:00
CA,Kelowna,Kelowna,CYLW|YLW,49.956112,-119.377778,America/Vancouver,-420,UTC-07:00
SA,Nejran,Nejran,EAM|OENG,17.611436,44.419169,Asia/Riyadh,180,UTC+03:00
ID,Cilacap,Cilacap,CXP|WIHL,-7.645056,109.033911,Asia/Jakarta,420,UTC+07:00
US,"Eastsound, Washington","Eastsound, Washington",ESD|KORS,48.708056,-122.910556,America/Los_Angeles,-420,UTC-07:00
AU,Gunnedah,Gunnedah,GUH,-30.9611,150.25101,Australia/Sydney,600,UTC+10:00
GR,Paros,Paros,LGPA|PAS,37.010278,25.127778,Europe/Athens,180,UTC+03:00
US,"Ogden, UT","Ogden, UT",HIF|KHIF,41.123939,-111.973039,America/Denver,-360,UTC-06:00
AU,Flinders Island,Flinders Island,FLS|YFLI,-40.0917,147.993,Australia/Hobart,600,UTC+10:00
UM,Midway Island,Midway Island,MDY|PMDY,28.201725,-177.380636,Pacific/Midway,-660,UTC-11:00
TH,Chumphon,Chumphon,CJM|VTSE,10.7112,99.361706,Asia/Bangkok,420,UTC+07:00
SL,Kenema,Kenema,GFKE|KEN,7.89129,-11.1766,Africa/Freetown,0,UTC+00:00
CA,Grise Fiord,Grise Fiord,CYGZ|YGZ,76.4261,-82.9092,America/Iqaluit,-240,UTC-04:00
CO,Rondon,Rondon,RON,0.0,0.0,America/Cayman,-300,UTC-05:00
US,"Victoria, Texas","Victoria, Texas",KVCT|VCT,28.8526,-96.9185,America/Chicago,-300,UTC-05:00
CA,Aklavik,Aklavik,CYKD|LAK,68.223333,-135.005833,America/Yellowknife,-360,UTC-06:00
PG,Kokoda,Kokoda,KKD,-8.88468,147.731,Asia/Vladivostok,600,UTC+10:00
PG,Hoskins,Hoskins,AYHK|HKN,-5.46217,150.405,Pacific/Port_Moresby,600,UTC+10:00
CN,Wuzhou,Wuzhou,WUZ|ZGWZ,23.4567,111.248,Asia/Chongqing,480,UTC+08:00
AU,Laverton,Laverton,LVO|YLTN,-28.6136,122.424,Australia/Perth,480,UTC+08:00
PK,Gilgit,Gilgit,GIL|OPGT,35.918786,74.333644,Asia/Karachi,300,UTC+05:00
US,"Circle Hot Spring, Alaska","Circle Hot Spring, Alaska",CHP,65.48547,-144.61078,America/Anchorage,-480,UTC-08:00
US,"Boston, Massachusetts","Boston, Massachusetts",BOS|KBOS|KPSM|PSM,42.364347,-71.005181,America/New_York,-240,UTC-04:00
BS,Stella Maris,Stella Maris,MYLS|SML,23.581444,-75.270475,America/Nassau,-240,UTC-04:00
BD,Coxs Bazar,Coxs Bazar,CXB|VGCB,21.452194,91.963889,Asia/Dhaka,360,UTC+06:00
KI,Arorae Island,Arorae Island,AIS|NGTR,-2.633333,179.816667,Pacific/Tarawa,720,UTC+12:00
US,"Tenakee Springs, Alaska","Tenakee Springs, Alaska",TKE,57.779722,-135.218333,Asia/Vladivostok,600,UTC+10:00
HN,Palacios,Palacios,PCH,0.0,0.0,America/Tegucigalpa,-360,UTC-06:00
AO,Ongiva,Ongiva,FNGI|VPE,-17.043464,15.683822,Africa/Bangui,60,UTC+01:00
ID,Sawu,Sawu,SAU,0.0,0.0,Asia/Makassar,480,UTC+08:00
US,"Hobart, Oklahoma","Hobart, Oklahoma",HBR|KHBR,34.991308,-99.051353,America/Chicago,-300,UTC-05:00
CA,Cross Lake,Cross Lake,CYCR|YCR,54.610833,-97.760278,America/Winnipeg,-300,UTC-05:00
CA,Big Trout,Big Trout,CYTL|YTL,53.8178,-89.8969,America/Winnipeg,-300,UTC-05:00
NO,Lakselv,Lakselv,ENNA|LKL,70.068814,24.973489,Europe/Oslo,120,UTC+02:00
AU,Badu Island,Badu Island,BDD|YBAU,-10.15,141.175,Australia/Brisbane,600,UTC+10:00
PG,Mapua,Mapua,MPU,9.186667,-77.984167,Asia/Vladivostok,600,UTC+10:00
IS,Hornafjordur,Hornafjordur,BIHN|HFN,64.295556,-15.227222,Atlantic/Reykjavik,0,UTC+00:00
US,"Georgetown, Delaware","Georgetown, Delaware",GED|KGED,38.689194,-75.358889,America/New_York,-240,UTC-04:00
NL,Eindhoven,Eindhoven,EHEH|EIN,51.450139,5.374528,Europe/Amsterdam,120,UTC+02:00
CN,Luxi,Luxi,LUM|ZPLX,24.4011,98.5317,Asia/Chongqing,480,UTC+08:00
CM,Garoua,Garoua,FKKR|GOU,9.335892,13.370103,Africa/Douala,60,UTC+01:00
AU,Broken Hill,Broken Hill,BHQ|YBHI,-32.0014,141.472,Australia/Broken_Hill,570,UTC+09:30
NG,Minna,Minna,DNMN|MXJ,9.652172,6.462256,Africa/Lagos,60,UTC+01:00
GB,Swansea,Swansea,EGFH|SWS,51.605333,-4.067833,Europe/London,60,UTC+01:00
MP,Saipan,Saipan,PGSN|SPN,15.119003,145.729356,Pacific/Saipan,600,UTC+10:00
CH,Vevey,Vevey,ZKZ,0.0,0.0,Europe/Monaco,120,UTC+02:00
RU,Norilsk,Norilsk,NSK|UOOO,69.311053,87.332183,Asia/Krasnoyarsk,420,UTC+07:00
CA,Kangiqsualujjuaq,Kangiqsualujjuaq,CYLU|XGR,58.7114,-65.9928,America/Montreal,-240,UTC-04:00
US,"Anderson, South Carolina","Anderson, South Carolina",AND|KAND,34.494583,-82.709389,America/New_York,-240,UTC-04:00
GB,London,London,BQH|EGGW|EGKB|EGKK|EGLC|EGLL|EGSS|LCY|LGW|LHR|LTN|QQK|QQP|QQS|QQU|STN|XQE|ZEP|ZLS,51.330833,0.0325,Europe/London,60,UTC+01:00
PG,Amazon Bay,Amazon Bay,AZB,0.0,0.0,Asia/Vladivostok,600,UTC+10:00
NO,Bardufoss,Bardufoss,BDU|ENDU,69.055758,18.540356,Europe/Oslo,120,UTC+02:00
ML,Bamako,Bamako,BKO|GABS,12.533544,-7.949944,Africa/Bamako,0,UTC+00:00
GB,Jersey,Jersey,EGJJ|JER,49.207947,-2.195508,Europe/Jersey,60,UTC+01:00
AG,Antigua,Antigua,ANU|TAPA,17.136749,-61.792667,America/Antigua,-240,UTC-04:00
CA,Schefferville,Schefferville,CYKL|YKL,54.805278,-66.805278,America/Montreal,-240,UTC-04:00
GR,Patras,Patras,GPA|LGRX,38.151111,21.425556,Europe/Athens,180,UTC+03:00
BR,Portos Dos Gauchos,Portos Dos Gauchos,PAPB|PBV,56.578344,-169.661611,America/Cuiaba,-240,UTC-04:00
ID,Semarang,Semarang,SRG|WARS,-6.971447,110.374122,Asia/Jakarta,420,UTC+07:00
IN,Bhubaneswar,Bhubaneswar,BBI|VEBS,20.244364,85.817781,Asia/Kolkata,330,UTC+05:30
MG,Sainte Marie,Sainte Marie,FMMS|SMS,-17.093889,49.815834,Indian/Antananarivo,180,UTC+03:00
GN,Conakry,Conakry,CKY|GUCY,9.576889,-13.611961,Africa/Conakry,0,UTC+00:00
AR,San Carlos De Bariloche,San Carlos De Bariloche,BRC|SAZS,-41.151172,-71.157542,America/Argentina/Salta,-180,UTC-03:00
PE,Bellavista,Bellavista,BLP,-7.06056,-76.5822,America/Lima,-300,UTC-05:00
GR,Kastelorizo,Kastelorizo,KZS|LGKJ,36.127777,29.566656,Europe/Athens,180,UTC+03:00
ES,Vigo,Vigo,LEVX|VGO,42.2318,-8.626775,Europe/Madrid,120,UTC+02:00
CN,Guang Yuan,Guang Yuan,GYS|ZUGU,32.3911,105.702,Asia/Chongqing,480,UTC+08:00
MV,Kaadedhdhoo,Kaadedhdhoo,KDM,0.4880555,72.995556,Indian/Maldives,300,UTC+05:00
